Commit Hash,Human tagged data,DEffort score,我的分数,我的分数2,标准化后的分数,,标准化前,标准化后,,,总时间/s,调用图时间/s,DDG/s,CDG/s,Changed LoC,ELOC,ERROR for 1
01903853d90a4246ef11612a7b8360bb53664b88,22,74.15354215,,,,,26284.00651,88.87649312,,,205.476,153.435,38.822,10.777,111,0.16,1
3ea25de368b185e3c9f3d56e46a4cfcdb9265318,2,4.621165585,,,,,2477.274321,9.809449589,,,171.499,152.985,13.131,3.425,8,1.102,0
be0d32b63f2da3f8c97474f05f617d160badce99,1,1.044524682,,,,,0,15.22935789,,,174.84,154.953,14.6,3.473,3,0.01,0
590140a30e2e1817448a5aabf1ed814a85588c00,7,182.3762759,,,,,40367.61256,70.60934911,,,189.83,153.486,27.011,6.698,46,4.51,1
4d0df8ee25ff311e29dd4cc4a5ae64bf1ab093b6,6,186.8094542,,,,,614.8362095,14.28034741,,,177.708,153.891,17.662,4.088,5,12.47142857,0
b9105b6782751d9e827b95573f57a157b0b0cacc,6,185.4643391,,,,,70315.22435,90.91445019,,,280.102,153.71,99.017,20.925,30,7.92,1
124fb5e3669eca2855bd979ebb96d109f3820410,7,328.3366002,,,,,10701.48669,29.09147951,,,188.339,153.985,26.581,5.167,14,13.05,0
1f2f1d22f60d11aa9ed2b4abbb32e26f425f9f24,1,0.02,,,,,0,0,,,171.269,153.87,12.353,3.297,8,0,1
c6612329a3250a5e390f5acdd766a4b509fa4027,23,1001.389003,,,,,8803.151167,107.9635715,,,203.026,153.976,37.479,8.788,137,0,1
7d69528e6518deae441f817ae5bc98fc072850c1,1.5,0.2,,,,,0,0,,,170.05,152.147,12.834,3.418,7,0,1
8a25fa500dd26aed87cee820e691dfc1b1d73358,0.5,0.06,,,,,104.1772085,18.32544253,,,169.2,151.785,12.279,3.364,3,1.061,0
b24a2bfeb57ad4eee1195cfc6413e01619864dda,3,63.42873435,,,,,15005.00576,44.59836402,,,171.178,152.538,13.149,3.712,13,0,1
